"","AL627309.3","LINC01409","LINC01128","AL645608.2","SAMD11","NOC2L","KLHL17","AL645608.7","HES4","ISG15","AGRN","C1orf159","TNFRSF4","SDF4","C1QTNF12","UBE2J2","SCNN1D","ACAP3","INTS11","CPTP","DVL1","AURKAIP1","CCNL2","MRPL20.AS1","MRPL20","AL391244.2","ANKRD65","VWA1","ATAD3C","ATAD3B","ATAD3A","TMEM240","SSU72","AL691432.4","AL691432.2","MIB2","CDK11B","SLC35E2B","CDK11A","SLC35E2A","NADK","GNB1","CFAP74","GABRD","PRKCZ","FAAP20","SKI"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3
"2",1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3
"4",1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4
"5",1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,4,1,1,1,1,4
"6",1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,4,1,1,1,4,1,4,2,1,1,4,1,1,1,1,1,1,3,1,1,1,1,4,4,1,4,1,1,1,1,1,4
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1
"8",1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,3,1,1,4,1,1
"10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,4,4,4,4,1,1,1,4,1,1,1,1,1
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,1,1,4,1
"12",1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,3
"13",4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,3,1,1,1,1,4
"14",1,1,1,1,4,1,1,1,1,4,4,1,1,4,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,4,1,1,1,4,3
"15",1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,4,1,1,4,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,4,1,1,3
"16",1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4
"18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,3
"19",1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1
"20",1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,1,1,4,4,1,1,1,1,4,1,1,1,4,3
"21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,4,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"22",1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,4,1,4,4,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1
"23",1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,4,1,1,4,1,3
"24",1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,4,1,4,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4
"25",1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
"26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1
"27",1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,4,1,4,4,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,3
"28",1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,4,3,1,4,1,1,1,4,1,1,1,1,1,1,4,1,4,1,4,4,1,1,1,1,1,4
"29",1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4
"31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3
"32",1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,3,1,1,1,4,1,1,1,1,4,4,1,1,1,4,1,1,1,1,3,1,1,1,1,4
"33",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,3
"34",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
"35",1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"36",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4
"37",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
"38",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4
"39",1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1
"40",1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1
"41",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3
"42",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,4,2,1,1,1,4,1
"43",1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,2,1,1,4,1,4
