,AL627309.3,LINC01409,LINC01128,AL645608.2,SAMD11,NOC2L,KLHL17,AL645608.7,HES4,ISG15,AGRN,C1orf159,TNFRSF4,SDF4,C1QTNF12,UBE2J2,SCNN1D,ACAP3,INTS11,CPTP,DVL1,AURKAIP1,CCNL2,MRPL20.AS1,MRPL20,AL391244.2,ANKRD65,VWA1,ATAD3C,ATAD3B,ATAD3A,TMEM240,SSU72,AL691432.4,AL691432.2,MIB2,CDK11B,SLC35E2B,CDK11A,SLC35E2A,NADK,GNB1,CFAP74,GABRD,PRKCZ,FAAP20,SKI
AL627309.3,10.0,0.000233109,0.000469861,0.000233109,0.000233109,0.000954762,0.0,0.0,0.001203158,0.000954762,0.001203158,0.000469861,0.000233109,0.001455695,0.000469861,0.001973759,0.000233109,0.035018578,0.035018578,0.000710372,0.000469861,0.002239589,0.005520428,0.000233109,0.001973759,0.000469861,0.000469861,0.001203158,0.000469861,0.000954762,0.000233109,0.001203158,0.002239589,0.0,0.000233109,0.001203158,0.037555654,0.001712513,0.000710372,0.000469861,0.037555654,0.029260768,0.000233109,0.000469861,0.000469861,0.001712513,0.03094775
LINC01409,0.000233109,10.0,0.000469861,0.000233109,0.000233109,0.000954762,0.0,0.0,0.001203158,0.000954762,0.001203158,0.000469861,0.000233109,0.001455695,0.000469861,0.001973759,0.000233109,0.001712513,0.001712513,0.000710372,0.000469861,0.002239589,0.005520428,0.000233109,0.001973759,0.000469861,0.000469861,0.001203158,0.000469861,0.044434845,0.000233109,0.040606491,0.032846652,0.0,0.000233109,0.040606491,0.037555654,0.001712513,0.000710372,0.000469861,0.001455695,0.032846652,0.000233109,0.000469861,0.000469861,0.035018578,0.027743081
LINC01128,0.000469861,0.000469861,10.0,0.000469861,0.000469861,0.001924811,0.0,0.0,0.002425744,0.001924811,0.020572079,0.000947124,0.000469861,0.002935099,0.000947124,0.013582843,0.057511304,0.015493522,0.015493522,0.001432024,0.000947124,0.004516645,0.061192386,0.000469861,0.013582843,0.000947124,0.000947124,0.020572079,0.000947124,0.001924811,0.000469861,0.002425744,0.004516645,0.0,0.000469861,0.002425744,0.017773779,0.015493522,0.029056104,0.036743596,0.017773779,0.044455737,0.000469861,0.000947124,0.036743596,0.003453162,0.056770738
AL645608.2,0.000233109,0.000233109,0.000469861,10.0,0.000233109,0.000954762,0.0,0.0,0.001203158,0.000954762,0.001203158,0.000469861,0.000233109,0.001455695,0.000469861,0.001973759,0.000233109,0.035018578,0.001712513,0.049583301,0.000469861,0.002239589,0.049583301,0.000233109,0.001973759,0.000469861,0.000469861,0.001203158,0.000469861,0.000954762,0.000233109,0.001203158,0.002239589,0.0,0.000233109,0.040606491,0.001455695,0.035018578,0.000710372,0.000469861,0.001455695,0.032846652,0.000233109,0.000469861,0.000469861,0.001712513,0.03094775
SAMD11,0.000233109,0.000233109,0.000469861,0.000233109,10.0,0.000954762,0.0,0.0,0.001203158,0.044434845,0.040606491,0.000469861,0.000233109,0.037555654,0.000469861,0.001973759,0.000233109,0.001712513,0.035018578,0.000710372,0.000469861,0.002239589,0.032846652,0.000233109,0.001973759,0.000469861,0.000469861,0.001203158,0.000469861,0.000954762,0.000233109,0.001203158,0.002239589,0.0,0.000233109,0.040606491,0.001455695,0.035018578,0.000710372,0.000469861,0.001455695,0.032846652,0.000233109,0.000469861,0.000469861,0.035018578,0.027743081
NOC2L,0.000954762,0.000954762,0.001924811,0.000954762,0.000954762,10.0,0.0,0.0,0.004931783,0.012554201,0.004931783,0.024152039,0.000954762,0.005968213,0.024152039,0.004075906,0.000954762,0.005450178,0.007022684,0.002910644,0.001924811,0.065558314,0.088237375,0.000954762,0.028656317,0.001924811,0.09378504,0.009483595,0.024152039,0.003912786,0.000954762,0.009483595,0.00488781,0.0,0.000954762,0.009483595,0.007203361,0.005450178,0.016957333,0.024152039,0.007203361,0.032501057,0.000954762,0.001924811,0.001924811,0.007022684,0.031749725
KLHL17,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL645608.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HES4,0.001203158,0.001203158,0.002425744,0.001203158,0.001203158,0.004931783,0.0,0.0,10.0,0.009483595,0.006674236,0.002425744,0.001203158,0.004659831,0.002425744,0.021234909,0.001203158,0.025146257,0.025146257,0.003668396,0.020572079,0.011585733,0.032090519,0.001203158,0.010207335,0.002425744,0.002425744,0.006674236,0.002425744,0.009483595,0.001203158,0.006674236,0.003170955,0.0,0.001203158,0.006216609,0.007523617,0.008853585,0.003668396,0.002425744,0.007523617,0.078634106,0.001203158,0.002425744,0.002425744,0.003177226,0.028019689
ISG15,0.000954762,0.000954762,0.001924811,0.000954762,0.044434845,0.012554201,0.0,0.0,0.009483595,10.0,0.044277925,0.001924811,0.000954762,0.007203361,0.001924811,0.004075906,0.000954762,0.03283824,0.005450178,0.002910644,0.024152039,0.002988908,0.037734762,0.000954762,0.004075906,0.001924811,0.001924811,0.004931783,0.001924811,0.003912786,0.000954762,0.044277925,0.009188337,0.0,0.000954762,0.009483595,0.005968213,0.005450178,0.002910644,0.001924811,0.005968213,0.065545931,0.000954762,0.024152039,0.001924811,0.005450178,0.029045306
