AL627309.3,LINC01409,LINC01128,AL645608.2,SAMD11,NOC2L,KLHL17,AL645608.7,HES4,ISG15,AGRN,C1orf159,TNFRSF4,SDF4,C1QTNF12,UBE2J2,SCNN1D,ACAP3,INTS11,CPTP,DVL1,AURKAIP1,CCNL2,MRPL20-AS1,MRPL20,AL391244.2,ANKRD65,VWA1,ATAD3C,ATAD3B,ATAD3A,TMEM240,SSU72,AL691432.4,AL691432.2,MIB2,CDK11B,SLC35E2B,CDK11A,SLC35E2A,NADK,GNB1,CFAP74,GABRD,PRKCZ,FAAP20,SKI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5202258,0.0,0.5202258,1.1142306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86069983,0.0,0.0,0.0,0.5202258,0.86069983
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1958215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7250044,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3920217,1.3920217,0.0,0.9208752,0.0,0.0,0.9208752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524529,0.0,0.0,0.0,0.0,0.9208752
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0273747,1.5233229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0273747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0273747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0273747,0.0,0.0,0.0,0.0,1.5233229
0.0,0.0,0.0,0.47691563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7984955,0.0,0.47691563,0.0,0.0,0.47691563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47691563,0.0,0.47691563,0.0,0.0,0.0,1.9616394,0.0,0.0,0.0,0.0,1.4000709
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47223437,0.0,0.0,0.47223437,0.0,0.47223437,0.0,0.0,0.0,0.47223437,0.0,0.47223437,0.47223437,0.0,0.0,0.47223437,0.0,0.0,0.0,0.0,0.0,0.0,0.47223437,0.0,0.0,0.0,0.0,0.47223437,0.7917004,0.0,0.7917004,0.47223437,0.0,0.0,0.0,0.0,1.2279704
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4528933,0.0,0.0,1.4528933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4528933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4528933,0.0
0.0,0.0,0.0,0.0,0.0,1.1356741,0.0,0.0,0.0,1.6537501,0.0,0.0,0.0,0.0,0.0,1.1356741,0.0,0.0,0.0,0.0,0.0,1.1356741,1.1356741,0.0,1.1356741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6537501,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642614,0.0,0.9642614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642614,1.4459066,0.0,0.0,0.9642614,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2685193,0.0,0.0,0.0,0.0,0.0,0.0,1.810118,0.0,0.0,0.0,0.0,1.2685193,1.810118,1.2685193,1.2685193,0.0,0.0,0.0,2.1594942,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6520431,0.0,0.0,1.1342416,0.0,0.0,0.0,0.0,0.0,0.0,1.1342416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6520431,0.0,0.0,0.0,1.1342416,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964835,0.0,0.0,1.0964835,0.0,0.0,0.0,0.0,0.0,1.0964835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6068828,1.0964835,0.0,0.0,0.0,0.0,1.0964835
0.709751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.709751,0.709751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.709751,0.0,0.0,0.0,0.709751,1.6358733,0.0,0.0,0.0,0.0,2.2265546
0.0,0.0,0.0,0.0,1.0610101,0.0,0.0,0.0,0.0,1.0610101,1.0610101,0.0,0.0,1.0610101,0.0,0.0,0.0,0.0,1.0610101,0.0,0.0,0.0,1.0610101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0610101,0.0,1.0610101,0.0,0.0,0.0,2.1467674,0.0,0.0,0.0,1.5641425,1.0610101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8122519,0.8122519,0.0,0.0,0.0,0.0,0.0,0.0,0.8122519,0.0,0.0,0.8122519,0.0,1.254462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8122519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.254462,0.0,0.8122519,0.0,0.0,0.8122519
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7634413,0.0,0.0,0.0,0.0,0.0,0.0,0.95966613,0.0,0.0,0.0,0.0,0.0,0.0,0.95966613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.440226,0.0,0.0,0.0,0.95966613,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3431929,0.0,1.3431929,0.0,0.0,0.0,0.0,0.88195956,0.0,0.88195956,0.88195956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88195956,0.0,0.0,0.0,0.0,1.6576347
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7768153,0.0,0.0,0.7768153,0.0,0.0,1.2086833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7768153,0.0,0.0,0.0,0.7768153,0.0,0.0,0.0,0.7768153,0.7768153
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7064273,0.0,0.9175225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9175225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9175225,0.0,0.0,0.0,0.0,0.9175225,0.0,0.0,0.0,0.0,0.0
0.0,0.98807406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98807406,0.0,0.98807406,0.98807406,0.0,0.0,0.98807406,0.98807406,0.0,0.0,0.0,0.0,1.8014076,0.0,0.0,0.0,0.98807406,0.98807406
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96961504,0.0,0.0,0.0,0.0,0.96961504,0.96961504,0.0,0.0,0.0,0.96961504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96961504,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8344779,0.0,0.0,0.0,0.0,0.8344779,0.0,0.8344779,0.0,0.8344779,0.8344779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8344779,0.0,0.0,0.8344779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5914437,0.0,0.0,0.0,0.0,0.0
